sku,product_name,category,collection,price,mrp,width_in,depth_in,height_in,installation_type,color,finish,style,water_efficiency,flow_rate_lpm,features,smart_features,description,source_url,last_verified_date
18131IN-S-0,Patio round-front wall hung toilet bundle in White,Toilet,Patio,9199,11500,14.21,21.06,14.37,Wall-mounted,White,White,Traditional,,,Quiet-Close seat; wall-hung; round-front,,Wall-hung toilet bundle,https://www.kohler.co.in/p/shop-toilet-area-combos/patio-round-front-wall-hung-toilet-bundle-in-white-1,2026-09-17
28780IN-0,"KOHLER VIVE wall-hung round-front toilet with skirted trapway, dual-flush",Toilet,Vive,15579,19000,,,,Wall-mounted,White,White,Modern,Dual-flush 2.0/4.0 lpf,,Rimless; skirted trapway; dual-flush; Quiet-Close compatible,,Wall-hung toilet bowl,https://www.kohler.co.in/p/toilets/vive-wall-hung-round-front-toilet-with-skirted-trapway-dual-flush-28780in,2026-09-17
33123IN-0,"KOHLER VIVE one-piece round-front back-to-wall toilet with skirted trapway, dual-flush",Toilet,Vive,12299,15000,,,,Floor-mounted,White,White,Modern,Dual-flush,,One-piece; back-to-wall; rimless; skirted trapway,,One-piece toilet,https://www.kohler.co.in/p/toilets/kohler-vive-one-piece-round-front-back-to-wall-toilet-with-skirted-trapway-dual-flush-33123in,2026-09-17
5573IN-2-0,Reach Eco wall-hung round toilet with skirted trapway,Toilet,Reach,10499,15000,,,,Wall-mounted,White,White,Modern,Water consumption reduced by 40%,,Rimless; skirted trapway; washdown flushing,,Eco wall-hung toilet,https://www.kohler.co.in/p/toilets/reach-eco-wall-hung-round-toilet-with-skirted-trapway-5573in-2,2026-09-17
EC27791IN-0,ModernLife Edge wall-hung round-front toilet with skirted trapway,Toilet,ModernLife Edge,47000,47000,,,,Wall-mounted,White,White,Minimalist,,,Rimless; skirted trapway; washdown flushing; Quiet-Close seat,,Wall-hung toilet,https://www.kohler.co.in/p/toilets/modernlife-edge-wall-hung-round-front-toilet-with-skirted-trapway-ec27791in-0,2026-09-17
27903IN-2SS-0,ModernLife Edge wall-hung round-front toilet bowl with skirted trapway,Toilet,ModernLife Edge,27199,34000,,,,Wall-mounted,White,Stainless steel/white,Minimalist,,,Rimless; skirted trapway; washdown flushing,,Wall-hung toilet bowl,https://www.kohler.co.in/p/toilets/modernlife-edge-wall-hung-round-front-toilet-bowl-with-skirted-trapway-27903in-2ss,2026-09-17
EC26994IN-2-HB1,Brazn wall-hung round-front toilet,Toilet,Brazn,50000,50000,14.8,21.65,15.75,Wall-mounted,White,White,Contemporary,,,Rimless; skirted trapway; Quiet-Close seat; Quick-Release,,Wall-hung toilet,https://www.kohler.co.in/p/toilets/brazn-wall-hung-round-front-toilet-ec26994in-2,2026-09-17
29172IN-0,Span wall-hung square-front toilet bowl,Toilet,Span,6439,9200,14.65,21.26,15.94,Wall-mounted,White,White,Minimalist,,,Square-front; wall-hung; concealed mounting; washdown,,Wall-hung toilet bowl,https://www.kohler.co.in/p/toilets/span-square-wall-hung-bowl-29172in,2026-09-17
5401IN-0,Veil Smart One-piece Toilet,Smart Toilet,Veil,679999,850000,17.24,26.38,19.09,Floor-mounted,White,White,Minimalist,Dual-flush 3.0/4.9 lpf,,Integrated cleansing; heated seat; LED nightlight; hands-free lid; touchscreen remote,Front/rear wash; warm water; hands-free opening/closing; LED nightlight,Smart one-piece toilet,https://www.kohler.co.in/p/toilets/veil-smart-one-piece-toilet-5401in,2026-09-17
29777IN-0,"Innate one-piece elongated smart toilet, dual-flush",Smart Toilet,Innate,379999,400000,,,,Floor-mounted,White,White,Minimalist,Dual-flush 3.5/5.0 lpf,,Integrated cleansing; Quiet-Close; fully skirted trapway,Heated seat; LED lighting; integrated bidet,Smart one-piece toilet,https://www.kohler.co.in/p/toilets/innate-one-piece-elongated-smart-toilet-dual-flush-29777in,2026-09-17
25316IN-0,Span 537 mm rectangular vessel bathroom sink,Washbasin,Span,7819,9200,21.14,,,Vessel,White,White,Minimalist,,,Rectangular; vitreous china; one faucet hole; no overflow,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/span-537-mm-rectangular-vessel-bathroom-sink-with-glazed-underside-no-overflow-25316in,2026-09-17
21060IN-0,Brazn 58.4 cm rectangular vessel bathroom sink,Washbasin,Brazn,16799,21000,23.0,16.0,,Vessel,White,White,Contemporary,,,Rectangular; center drain; brass drain; with overflow,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/brazn-vessel-bathroom-sink-21060in,2026-09-17
75374IN-1-0,"Forefront 46 cm square vessel bathroom sink with glazed underside, no overflow",Washbasin,Forefront,10659,13000,18.11,18.11,,Semi-recessed vessel,White,White,Contemporary,,,Square basin; rounded corners; integrated faucet deck; single faucet hole,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/forefront-sq-w-deck-75374in-1,2026-09-17
75375IN-0,"Forefront 89 cm rectangular vessel bathroom sink, no overflow",Washbasin,Forefront,43999,55000,35.04,,,Vessel,White,White,Contemporary,,,Rectangular; shallow; no faucet holes; no overflow,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/forefront-890-mm-rectangular-vessel-bathroom-sink-no-overflow-75375in,2026-09-17
2749T-1-0,Forefront 90 cm rectangular vessel bathroom sink with glazed underside,Washbasin,Forefront,42799,53500,35.43,,,Vessel,White,White,Contemporary,,,Rectangular; rounded corners; integrated rear faucet deck; single faucet hole,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/forefront-vanity-lavatory-with-single-faucet-hole-2749t-1,2026-09-17
5373IN-0,Forefront 58 cm rectangular vessel bathroom sink,Washbasin,Forefront,15579,19000,22.83,,,Semi-recessed vessel,White,White,Minimalist,,,Deep rectangular basin; no faucet holes; center drain; overflow,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/forefront-580-mm-rectangular-vessel-bathroom-sink-5373in,2026-09-17
26270IN-0,Forefront Brink 60 cm rectangle vessel bathroom sink,Washbasin,Forefront Brink,13119,16000,23.62,,,Vessel,White,White,Contemporary,,,Rectangular; ultra-thin edges; center drain,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/forefront-brink-600-mm-rectangle-vessel-bathroom-sink-26270in,2026-09-17
2660IN-1-7,"Forefront 58.5 cm rectangular vessel bathroom sink, no overflow",Washbasin,Forefront,17459,21300,23.03,,,Vessel,White,White,Minimalist,,,Rectangular; rounded corners; integrated faucet deck; single faucet hole,,Vessel bathroom sink,https://www.kohler.co.in/p/washbasins/vox-rectangular-vessel-lavatory-with-single-faucet-hole-2660in-1,2026-09-17
11543IN-4-CP,"July Tall single-handle bathroom sink faucet, cold water only, 26.1 lpm",Faucet,July,3179,4480,,,,Deck-mounted,,Polished Chrome,Modern,,26.1,Single handle; 96 mm spout reach; 16 cm spout height,,Cold-water-only faucet,https://www.kohler.co.in/p/washbasins/july-tall-pillar-lavatory-faucet-11543in-4,2026-09-17
